time,abs_time,angle,is_rotating,Freq_272,V_272_R,V_272_theta,V_272_X,V_272_Y,Vout_272,Harm_272,Freq_363,V_363_R,V_363_theta,V_363_X,V_363_Y,Vout_363,Harm_363,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
7.888466,1619022168.37,185.0024,0,237.1,6.77494e-06,0.672,6.774474023773064e-06,7.945882470814532e-08,1.45,1,313.1,5.60659e-06,0.894,5.605907520259195e-06,8.747743938525735e-08,1.0,1,38.538,47.391,3.359,3.638,3.561,3.531,5.827,3.41,296.8,299.989,-1.0246,45.3,46.4,296.8,300.0,0,0,0.0074734496884047985,0.0015055777031025958
8.003429,1619022168.484963,185.0024,0,237.1,6.7754e-06,0.678,6.7749256335131955e-06,8.01736887378367e-08,1.45,1,313.1,5.60659e-06,0.894,5.605907520259195e-06,8.747743938525735e-08,1.0,1,38.538,47.388,3.359,3.638,3.561,3.531,5.827,3.41,296.777,299.982,-1.0246,44.7,47.0,296.8,300.0,0,0,0.0062901731580495834,0.0015048918953870015
8.117394,1619022168.598928,185.0024,0,237.1,6.7754e-06,0.684,6.774917200596473e-06,8.088315685023394e-08,1.45,1,313.1,5.60613e-06,0.894,5.6054475762541365e-06,8.747026218447806e-08,1.0,1,38.538,47.388,3.427,3.638,3.561,3.531,5.827,3.41,296.79,299.977,-1.0246,38.9,47.0,296.8,300.0,0,0,0.008656751364469528,0.0015052795258349468
8.232355,1619022168.713889,185.0024,0,237.1,6.77494e-06,0.69,6.774448726740588e-06,8.158708453450302e-08,1.45,1,313.1,5.60566e-06,0.894,5.6049776334663604e-06,8.746292895759486e-08,1.0,1,38.538,47.388,3.427,3.651,3.561,3.531,5.828,3.41,296.799,299.983,-1.0246,39.3,45.8,296.8,300.0,0,0,0.0074734496884047985,0.0015055478853758298
8.347317,1619022168.828851,185.0024,0,237.1,6.77494e-06,0.696,6.774440145816018e-06,8.229650269759012e-08,1.45,1,313.1,5.60566e-06,0.894,5.6049776334663604e-06,8.746292895759486e-08,1.0,1,38.536,47.388,3.427,3.651,3.561,3.531,5.828,3.41,296.799,299.988,-1.0246,40.7,45.9,296.8,300.0,0,0,0.007079034578055143,0.0015055478853758298
8.480275,1619022168.961809,185.0024,0,237.1,6.77494e-06,0.702,6.7744314906014e-06,8.300591995819511e-08,1.45,1,313.1,5.60519e-06,0.894,5.6045076906785835e-06,8.745559573071166e-08,1.0,1,38.536,47.4,3.427,3.651,3.561,3.531,5.828,3.41,296.792,299.994,-1.0247,40.7,46.2,296.8,300.0,0,0,0.007079034578055143,0.00150489472883407
8.604235,1619022169.085769,185.0024,0,237.1,6.77494e-06,0.708,6.7744227610968275e-06,8.371533630853828e-08,1.45,1,313.1,5.60473e-06,0.894,5.604047746673525e-06,8.744841852993236e-08,1.0,1,38.536,47.4,3.478,3.651,3.561,3.532,5.827,3.41,296.792,299.992,-1.0247,40.8,46.5,296.8,300.0,0,0,0.007867894135415554,0.00150489472883407
8.718199,1619022169.199733,185.0024,0,237.1,6.77447e-06,0.714,6.773943993795717e-06,8.441889491652605e-08,1.45,1,313.1,5.60426e-06,0.888,5.603586929969718e-06,8.685427952925539e-08,1.0,1,38.536,47.4,3.478,3.625,3.561,3.532,5.827,3.41,296.791,299.994,-1.0246,40.9,46.1,296.8,300.0,0,0,0.0074734496884047985,0.001505309343561711
8.831172,1619022169.312706,185.0024,0,237.1,6.77354e-06,0.714,6.773014066005907e-06,8.440730588118124e-08,1.45,1,313.1,5.6038e-06,0.882,5.603136049105321e-06,8.626039193282242e-08,1.0,1,38.542,47.4,3.478,3.625,3.561,3.532,5.827,3.41,296.794,299.994,-1.0246,40.3,46.3,296.8,300.0,0,0,0.0074734496884047985,0.0015053987967420055
8.947126,1619022169.42866,185.0024,0,237.1,6.77354e-06,0.714,6.773014066005907e-06,8.440730588118124e-08,1.45,1,313.1,5.6038e-06,0.876,5.603145051549794e-06,8.567363242595487e-08,1.0,1,38.542,47.404,3.478,3.625,3.561,3.532,5.827,3.41,296.796,299.993,-1.0246,40.4,46.4,296.8,300.0,0,0,0.007079034578055143,0.0015054584321955353
9.063089,1619022169.544623,185.0024,0,237.1,6.77307e-06,0.714,6.772544102499229e-06,8.44014490568672e-08,1.45,1,313.1,5.60426e-06,0.87,5.603613939519991e-06,8.50938565188318e-08,1.0,1,38.542,47.404,3.478,3.625,3.561,3.531,5.827,3.41,296.801,299.992,-1.0247,40.2,46.5,296.8,300.0,0.0005,0.0005,0.0074734496884047985,0.0015051630883375319
9.191046,1619022169.67258,185.0024,0,237.1,6.77261e-06,0.708,6.772092938982778e-06,8.368654539177756e-08,1.45,1,313.1,5.60473e-06,0.858,5.604101585937105e-06,8.392727445372467e-08,1.0,1,38.542,47.404,3.515,3.553,3.561,3.531,5.825,3.41,296.801,299.995,-1.0247,41.0,45.8,296.8,300.0,0.0005,0.0005,0.007079034578055143,0.0015051630883375319
9.30601,1619022169.787544,185.0024,0,237.1,6.77261e-06,0.708,6.772092938982778e-06,8.368654539177756e-08,1.45,1,313.1,5.60519e-06,0.858,5.604561534360942e-06,8.39341626617648e-08,1.0,1,38.545,47.404,3.515,3.553,3.561,3.531,5.825,3.41,296.799,299.992,-1.0247,40.9,46.5,296.8,300.0,0.0005,0.0005,0.007079034578055143,0.0015051034528923179
9.418974,1619022169.900508,185.0024,0,237.1,6.77261e-06,0.708,6.772092938982778e-06,8.368654539177756e-08,1.45,1,313.1,5.60613e-06,0.846,5.6055188881016125e-06,8.277422325861476e-08,1.0,1,38.545,47.404,3.515,3.553,3.561,3.531,5.825,3.41,296.807,299.985,-1.0247,39.3,47.0,296.8,300.0,0.0005,0.0005,0.007079034578055143,0.0015053419946731738
9.532937,1619022170.014471,185.0024,0,237.1,6.77261e-06,0.708,6.772092938982778e-06,8.368654539177756e-08,1.45,1,313.1,5.60706e-06,0.84,5.606457425517886e-06,8.220084826423911e-08,1.0,1,38.545,47.398,3.515,3.553,3.561,3.531,5.825,3.41,296.791,299.993,-1.0247,43.1,45.6,296.8,300.0,0.0005,0.0005,0.0074734496884047985,0.001504864911111464
9.6479,1619022170.129434,185.0024,0,237.1,6.77261e-06,0.708,6.772092938982778e-06,8.368654539177756e-08,1.45,1,313.1,5.60799e-06,0.84,5.607387325573482e-06,8.22144822879317e-08,1.0,1,38.545,47.398,3.502,3.553,3.561,3.531,5.825,3.41,296.799,299.995,-1.0246,39.5,46.1,296.8,300.0,0.0005,0.0005,0.007079034578055143,0.0015055478853758298
9.761873,1619022170.243407,185.0024,0,237.1,6.77261e-06,0.708,6.772092938982778e-06,8.368654539177756e-08,1.45,1,313.1,5.60799e-06,0.828,5.607404421550495e-06,8.104007203816194e-08,1.0,1,38.545,47.398,3.502,3.474,3.561,3.531,5.825,3.41,296.82,300.0,-1.0247,37.3,45.3,296.8,300.0,0.0005,0.0005,0.007079034578055143,0.0015057296250670618
9.896821,1619022170.378355,185.0024,0,237.1,6.77307e-06,0.708,6.772552903863663e-06,8.369222943542989e-08,1.45,1,313.1,5.60892e-06,0.816,5.608351177244251e-06,7.987890274046032e-08,1.0,1,38.539,47.398,3.502,3.474,3.561,3.531,5.825,3.41,296.824,300.007,-1.0247,42.1,46.2,296.8,300.0,0.0005,0.0005,0.0074734496884047985,0.00150584889595749
10.011785,1619022170.493319,185.0024,0,237.1,6.77307e-06,0.708,6.772552903863663e-06,8.369222943542989e-08,1.45,1,313.1,5.60938e-06,0.81,5.608819465425227e-06,7.929810002182008e-08,1.0,1,38.539,47.398,3.502,3.474,3.561,3.531,5.825,3.41,296.773,300.008,-1.0247,49.1,46.0,296.8,300.0,0.0005,0.0005,0.007079034578055143,0.0015043281921045416
10.129747,1619022170.611281,185.0024,0,237.1,6.77354e-06,0.702,6.773031595681762e-06,8.298876729146425e-08,1.45,1,313.1,5.61032e-06,0.798,5.609775859395287e-06,7.813648152986604e-08,1.0,1,38.539,47.398,3.424,3.474,3.561,3.531,5.825,3.41,296.78,300.015,-1.0247,40.1,45.4,296.8,300.0,0.0005,0.0005,0.007079034578055143,0.0015045369161627879
10.244708,1619022170.726242,185.0024,0,237.1,6.77354e-06,0.702,6.773031595681762e-06,8.298876729146425e-08,1.45,1,313.1,5.61032e-06,0.798,5.609775859395287e-06,7.813648152986604e-08,1.0,1,38.539,47.398,3.424,3.462,3.561,3.531,5.824,3.41,296.807,300.015,-1.0246,36.4,45.9,296.8,300.0,0.0005,0.0005,0.007079034578055143,0.0015057864271899504
10.360672,1619022170.842206,185.0024,0,237.1,6.77307e-06,0.702,6.7725616309587415e-06,8.298300889620461e-08,1.45,1,313.1,5.61032e-06,0.792,5.6097840110694455e-06,7.75490267482365e-08,1.0,1,38.545,47.398,3.424,3.462,3.561,3.531,5.824,3.41,296.782,300.011,-1.0247,49.5,46.3,296.8,300.0,0.0005,0.0005,0.0074734496884047985,0.0015045965516080019
10.49263,1619022170.974164,185.0024,0,237.1,6.77261e-06,0.702,6.772101665485147e-06,8.297737301999305e-08,1.45,1,313.1,5.61032e-06,0.798,5.609775859395287e-06,7.813648152986604e-08,1.0,1,38.545,47.403,3.424,3.462,3.561,3.531,5.824,3.41,296.714,300.004,-1.0247,45.7,46.6,296.8,300.0,0.0005,0.0005,0.007079034578055143,0.0015025689464707372
10.606595,1619022171.088129,185.0024,0,237.1,6.77261e-06,0.702,6.772101665485147e-06,8.297737301999305e-08,1.45,1,313.1,5.60985e-06,0.804,5.609297692476043e-06,7.87173404208983e-08,1.0,1,38.545,47.403,3.424,3.462,3.561,3.531,5.824,3.41,296.727,299.998,-1.0246,40.3,46.8,296.8,300.0,0.0005,0.0005,0.0074734496884047985,0.0015034010090487551
10.721556,1619022171.20309,185.0024,0,237.1,6.77261e-06,0.708,6.772092938982778e-06,8.368654539177756e-08,1.45,1,313.1,5.60938e-06,0.81,5.608819465425227e-06,7.929810002182008e-08,1.0,1,38.545,47.403,3.329,3.492,3.561,3.531,5.825,3.41,296.744,299.999,-1.0246,39.4,46.1,296.8,300.0,0.0005,0.0005,0.0074734496884047985,0.0015039079104037605
10.836528,1619022171.318062,185.0024,0,237.1,6.77261e-06,0.708,6.772092938982778e-06,8.368654539177756e-08,1.45,1,313.1,5.60845e-06,0.822,5.607872829961978e-06,8.04594647895832e-08,1.0,1,38.542,47.403,3.329,3.492,3.561,3.531,5.825,3.41,296.744,300.002,-1.0246,41.9,45.9,296.8,300.0,0.0005,0.0005,0.0074734496884047985,0.0015039079104037605
10.95648,1619022171.438014,185.0024,0,237.1,6.77354e-06,0.714,6.773014066005907e-06,8.440730588118124e-08,1.45,1,313.1,5.60799e-06,0.834,5.607395904307977e-06,8.162727761061846e-08,1.0,1,38.542,47.403,3.329,3.492,3.561,3.531,5.825,3.41,296.784,299.999,-1.0247,35.2,46.5,296.8,300.0,0.0005,0.0005,0.007079034578055143,0.0015046561870532156
11.085439,1619022171.566973,185.0024,0,237.1,6.774e-06,0.72,6.77346515343665e-06,8.512235416983056e-08,1.45,1,313.1,5.60706e-06,0.84,5.606457425517886e-06,8.220084826423911e-08,1.0,1,38.542,47.395,3.329,3.492,3.561,3.531,5.825,3.41,296.83,299.993,-1.0246,39.5,46.4,296.8,300.0,0.0005,0.0005,0.007867894135415554,0.0015064722349055425
11.204404,1619022171.685938,185.0024,0,237.1,6.77494e-06,0.732,6.77438710018092e-06,8.655299245170116e-08,1.45,1,313.1,5.60659e-06,0.846,5.605978837958024e-06,8.278101513513188e-08,1.0,1,38.542,47.395,3.306,3.545,3.561,3.531,5.825,3.41,296.815,299.992,-1.0245,42.7,46.4,296.8,300.0,0.0005,0.0005,0.007867894135415554,0.0015064694015541106
11.325367,1619022171.806901,185.0024,0,237.1,6.7754e-06,0.738,6.774837961069705e-06,8.726832901395202e-08,1.45,1,313.1,5.60566e-06,0.852,5.60504024123249e-06,8.335424263007383e-08,1.0,1,38.542,47.395,3.306,3.545,3.561,3.531,5.825,3.41,296.814,299.987,-1.0245,40.5,46.8,296.8,300.0,0.0005,0.0005,0.0074734496884047985,0.0015064395838231882
11.440329,1619022171.921863,185.0024,0,237.1,6.77494e-06,0.75,6.7743595744542434e-06,8.86812246201243e-08,1.45,1,313.1,5.60566e-06,0.846,5.605048939335278e-06,8.276728373260814e-08,1.0,1,38.535,47.395,3.306,3.545,3.561,3.531,5.825,3.41,296.824,299.985,-1.0246,38.7,46.6,296.8,300.0,0.0005,0.0005,0.007079034578055143,0.001506293328544954
11.558292,1619022172.039826,185.0024,0,237.1,6.77447e-06,0.756,6.773880291546415e-06,8.938443208435489e-08,1.45,1,313.1,5.60473e-06,0.852,5.604110344052792e-06,8.334041384886949e-08,1.0,1,38.535,47.4,3.306,3.545,3.561,3.531,5.825,3.41,296.795,299.988,-1.0246,45.1,46.5,296.8,300.0,0.0005,0.0005,0.007867894135415554,0.001505428614468771
