time,abs_time,Freq_272-y,V_272-y_R,V_272-y_theta,V_272-y_X,V_272-y_Y,Harm_272-y,Freq_363-y,V_363-y_R,V_363-y_theta,V_363-y_X,V_363-y_Y,Harm_363-y,Freq_272-x,V_272-x_R,V_272-x_theta,V_272-x_X,V_272-x_Y,Vout_272-x,Harm_272-x,Freq_363-x,V_363-x_R,V_363-x_theta,V_363-x_X,V_363-x_Y,Vout_363-x,Harm_363-x,CFMS_1st stage A,CFMS_1st stage B,CFMS_2nd stage A,CFMS_2nd stage B,CFMS_Inner Magnet,CFMS_Outer Magnet,CFMS_Switch,CFMS_He Pot,Tvti,Tsample,sC,H1,H2,SP1,SP2,Magnet_output_field,Magnet_magnet_field,Vti-Pressure,Hanalog
8.629814,1619351248.549316,36.829,4.42707e-06,-95.004,-3.861524647999563e-07,-4.410196714300726e-06,1,13.217,5.30858e-07,-32.49,4.477708713124624e-07,-2.851516490712937e-07,1,36.83,1.64808e-05,-4.692,1.642556983766888e-05,-1.3481187439770959e-06,5.0,1,13.217,5.24896e-06,15.69,5.05337829384889e-06,1.4194889576382353e-06,5.0,1,39.49,48.888,3.627,3.63,3.463,3.642,5.879,3.522,2.27305,3.0003,-4068.9,0.4,9.0,2.273,3.0,0,0,0.009249579161405563,-15.773945215225897
8.829802,1619351248.749304,36.8299,4.43173e-06,-95.076,-3.9210647822566585e-07,-4.414349703255674e-06,1,13.217,5.36445e-07,-32.544,4.5221164471532274e-07,-2.885790470717906e-07,1,36.83,1.64808e-05,-4.692,1.642556983766888e-05,-1.3481187439770959e-06,5.0,1,13.217,5.24896e-06,15.672,5.05382399007545e-06,1.4179013220030014e-06,5.0,1,39.49,48.888,3.603,3.548,3.463,3.642,5.878,3.522,2.27307,2.9992,-4069.0,0.4,9.1,2.273,3.0,0,0,0.009249579161405563,-15.774229811454997
9.029458,1619351248.94896,36.8299,4.43545e-06,-95.142,-3.975245855768183e-07,-4.417600129749407e-06,1,13.2165,5.41102e-07,-32.634,4.5567959931960924e-07,-2.9180040638751757e-07,1,36.83,1.64808e-05,-4.692,1.642556983766888e-05,-1.3481187439770959e-06,5.0,1,13.217,5.24896e-06,15.672,5.05382399007545e-06,1.4179013220030014e-06,5.0,1,39.499,48.888,3.603,3.548,3.462,3.642,5.878,3.522,2.27306,3.00053,-4069.0,0.4,9.0,2.273,3.0,0,0,0.009249579161405563,-15.774229811454997
9.22945,1619351249.148952,36.8319,4.43871e-06,-95.19,-4.015202212466136e-07,-4.42051218480733e-06,1,13.217,5.45293e-07,-32.7,4.5886993881930185e-07,-2.945892650742219e-07,1,36.83,1.64808e-05,-4.692,1.642556983766888e-05,-1.3481187439770959e-06,5.0,1,13.217,5.24896e-06,15.672,5.05382399007545e-06,1.4179013220030014e-06,5.0,1,39.499,48.905,3.492,3.548,3.462,3.642,5.877,3.522,2.27299,2.99901,-4068.9,0.4,9.1,2.273,3.0,0,0,0.01003738958388567,-15.773945215225897
9.429436,1619351249.348938,36.8309,4.44104e-06,-95.232,-4.0497298759406734e-07,-4.422536959813805e-06,1,13.2165,5.48553e-07,-32.82,4.609915770634293e-07,-2.9731659840239715e-07,1,36.83,1.64808e-05,-4.692,1.642556983766888e-05,-1.3481187439770959e-06,5.0,1,13.217,5.2471e-06,15.678,5.051884680309668e-06,1.4179279201893458e-06,5.0,1,39.495,48.905,3.492,3.549,3.462,3.642,5.877,3.522,2.27315,2.99981,-4068.9,0.4,9.1,2.273,3.0,0,0,0.009249579161405563,-15.773945215225897
9.629423,1619351249.548925,36.8299,4.44337e-06,-95.262,-4.075022516263315e-07,-4.424644491009359e-06,1,13.216,5.50881e-07,-32.976,4.621333174203046e-07,-2.998377446071525e-07,1,36.83,1.64808e-05,-4.692,1.642556983766888e-05,-1.3481187439770959e-06,5.0,1,13.217,5.2471e-06,15.66,5.052329886195566e-06,1.4163407538636702e-06,5.0,1,39.495,48.896,3.428,3.549,3.462,3.642,5.877,3.522,2.27299,2.99859,-4068.9,0.4,9.2,2.273,3.0,0,0,0.009249579161405563,-15.773945215225897
9.829411,1619351249.748913,36.828,4.4457e-06,-95.28,-4.0910668816623317e-07,-4.426836365588597e-06,1,13.2165,5.53209e-07,-33.126,4.6329639329457934e-07,-3.0231878810493147e-07,1,36.83,1.64827e-05,-4.692,1.6427463470422844e-05,-1.348274162743998e-06,5.0,1,13.217,5.2471e-06,15.66,5.052329886195566e-06,1.4163407538636702e-06,5.0,1,39.495,48.896,3.428,3.596,3.462,3.642,5.878,3.522,2.27294,2.99984,-4069.0,0.4,9.1,2.273,3.0,0,0,0.00964348390698433,-15.774229811454997
10.029595,1619351249.949097,36.8299,4.44756e-06,-95.274,-4.088140775460376e-07,-4.428731308580391e-06,1,13.2174,5.54606e-07,-33.258,4.637668567140539e-07,-3.0415147188459597e-07,1,36.83,1.64827e-05,-4.692,1.6427463470422844e-05,-1.348274162743998e-06,5.0,1,13.217,5.2471e-06,15.66,5.052329886195566e-06,1.4163407538636702e-06,5.0,1,39.495,48.895,3.428,3.596,3.462,3.642,5.878,3.522,2.27304,2.99979,-4069.0,0.4,9.0,2.273,3.0,0,0,0.00964348390698433,-15.774229811454997
10.229572,1619351250.149074,36.829,4.44896e-06,-95.238,-4.0615915336178215e-07,-4.430381453525242e-06,1,13.2165,5.56003e-07,-33.336,4.6451950915728174e-07,-3.0555026038489666e-07,1,36.83,1.64827e-05,-4.692,1.6427463470422844e-05,-1.348274162743998e-06,5.0,1,13.217,5.24524e-06,15.648,5.0508353503905174e-06,1.4147808737912386e-06,5.0,1,39.495,48.895,3.415,3.596,3.462,3.642,5.879,3.522,2.27289,3.00054,-4068.9,0.4,9.1,2.273,3.0,-15.9729,-15.9729,0.009249579161405563,-15.773945215225897
10.429553,1619351250.349055,36.8309,4.44803e-06,-95.166,-4.0050771392293265e-07,-4.429962127602021e-06,1,13.2165,5.56469e-07,-33.3,4.6510088657323996e-07,-3.055141785086023e-07,1,36.83,1.64827e-05,-4.698,1.6427322189409297e-05,-1.3499944352999734e-06,5.0,1,13.217,5.24524e-06,15.648,5.0508353503905174e-06,1.4147808737912386e-06,5.0,1,39.501,48.895,3.415,3.662,3.462,3.642,5.879,3.522,2.27306,3.00043,-4068.8,0.4,8.9,2.273,3.0,-15.9729,-15.9729,0.008855672553181648,-15.773660618996798
